element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent_strength,oppoenet_attack,opponent_defense,form,preround_total_points,transfers_reduced,average_points,preround_influence,preround_creativity,preround_threat,preround_ict
308,29,15,5,False,2023-08-27T15:30:00Z,1,2,3,90,0,1,0,1,0,0,0,0,0,0,0,19,28.6,24.9,16.0,7.0,1,0.18,0.12,0.30,2.00,125,-229297,2570086,98738,328035,1220,1250,1310,13.0,13,-0.08921763707517959,6.5,35.1,9.4,9.4,7.65
308,37,2,8,True,2023-09-03T13:00:00Z,3,0,4,90,1,0,1,0,0,0,0,0,0,0,0,26,45.2,23.1,115.0,18.3,1,0.80,0.07,0.87,0.66,125,-122416,2505698,74612,197028,1175,1190,1160,8.0,16,-0.04885504957101774,5.333333333333333,30.2,9.066666666666668,9.066666666666668,6.133333333333334
309,9,7,2,False,2023-08-13T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,17,9.6,37.5,10.0,5.7,1,0.02,0.10,0.12,1.28,70,0,308481,0,0,1115,1130,1210,8.666666666666666,26,0.0,6.5,35.599999999999994,11.625,11.625,7.300000000000001
309,14,3,5,True,2023-08-19T14:00:00Z,3,1,2,90,0,1,0,1,0,0,0,0,0,0,0,26,15.2,15.9,22.0,5.3,1,0.12,0.05,0.17,1.29,70,-10856,340429,26038,36894,1095,1100,1090,0.0,0,-0.03188917512902837,0.0,0.0,0.0,0.0,0.0
309,29,15,2,False,2023-08-27T15:30:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,10,8.6,15.3,5.0,2.9,1,0.07,0.02,0.09,2.00,70,11745,380525,52151,40406,1220,1250,1310,0.0,0,0.030865251954536495,0.0,0.0,0.0,0.0,0.0
309,37,2,10,True,2023-09-03T13:00:00Z,3,0,4,90,1,0,1,0,0,0,0,0,0,0,2,33,37.6,35.5,12.0,8.5,1,0.07,0.34,0.41,0.66,70,-26341,366754,18927,45268,1175,1190,1160,6.0,6,-0.07182198421830437,3.0,1.8,7.25,7.25,1.0
311,14,3,1,True,2023-08-19T14:00:00Z,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.28,45,-1247,11151,324,1571,1095,1100,1090,6.0,12,-0.11182853555734912,4.0,3.6,10.266666666666667,10.266666666666667,1.5999999999999999
313,9,7,2,False,2023-08-13T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,13,20.0,0.5,3.0,2.4,1,0.03,0.02,0.05,1.28,60,0,732873,0,0,1115,1130,1210,4.666666666666667,14,0.0,3.5,7.0,19.275,19.275,3.075
313,14,3,2,True,2023-08-19T14:00:00Z,3,1,2,90,0,0,0,1,0,0,0,0,0,0,0,17,18.6,11.3,23.0,5.3,1,0.21,0.02,0.23,1.29,60,29679,932127,76711,47032,1095,1100,1090,0.0,0,0.03184008187725492,0.0,0.0,0.0,0.0,0.0
313,29,15,-2,False,2023-08-27T15:30:00Z,1,2,3,27,0,0,0,1,0,0,0,0,1,0,0,-6,0.0,0.1,0.0,0.0,1,0.00,0.00,0.00,3.47,60,-41181,938353,41032,82213,1220,1250,1310,3.0,3,-0.043886469164589444,1.5,3.7,17.4,17.4,3.05
